BeginSample
	_SampleName, "Sample4.mss"
	_MethodName, "Multicycle Compression to Displacement Points.msm"
	PercentSetLoad, 0.000,  "N"
	BreakDrop, 50.0,  "%"
	BreakElongation, 2.540,  "mm"
	BreakSensitivity, 90,  "%"
	BreakThreshold, 2.224,  "N"
	CycleSavingFrequency, 1,  ""
	DataAcqRate, 10.0,  "Hz"
	EndPointBreakingAmount, 0.000,  "mm"
	Extension1, 0.000,  "mm"
	Extension2, 38.100,  "mm"
	Extension3, 44.450,  "mm"
	ExtLimitHigh, 508,  "mm"
	ExtLimitLow, -0.25,  "mm"
	GageLength, 25.557,  "mm"
	Header1, "",  ""
	Header2, "",  ""
	Header3, "",  ""
	HoldTime1, 60.000,  "s"
	HoldTime2, 0.000,  "s"
	LoadLimitHigh, 10009,  "N"
	LoadLimitLow, -4448,  "N"
	_MaxSpecimens, 999,  ""
	ModulusExt1, 30.480,  "mm"
	ModulusExt2, 45.720,  "mm"
	NumCycles, 1,  ""
	PerformPreLoad, "1 Yes",  ""
	PreLoad, 10.000,  "N"
	PreLoadSpeed, 5.000,  "mm/min"
	SampleInfo1, "",  ""
	SampleInfo2, "",  ""
	SampleInfo3, "",  ""
	SampleInfo4, "",  ""
	SampleInfo5, "",  ""
	SampleInfo6, "",  ""
	SampleInfo7, "",  ""
	SampleInfo8, "",  ""
	SampleInfo9, "",  ""
	SampleInfo10, "",  ""
	SampleID, "DensityGroup1TestSpeed1",  ""
	SaveFirstCycle, "1 Yes",  ""
	SaveLastCycle, "1 Yes",  ""
	SlackPreLoad, 4.448,  "N"
	SlopeSegLength, 20.000,  "%"
	StrainLimitHigh, 10,  "mm/mm"
	StrainLimitLow, -10,  "mm/mm"
	StressLimitHigh, 207,  "MPa"
	StressLimitLow, -207,  "MPa"
	TimeLimit, 10000,  "s"
	ZeroExtAfterPreLoad, "1 Yes",  ""
	BeginSpecimen
		Endpoint1, 0.205,  "mm"
		Endpoint2, 0.000,  "mm"
		Comment, "",  ""
		TestSpeed, 0.8,  "mm/min"
		Thickness, 12.70,  "mm"
		Width, 12.25,  "mm"
		AdjGage, 21.155,  "mm"
		Area, 155.5750,  "mm^2"
		BreakCycle, ****,  ""
		Break, ****,  ""
		LoadAtBreak, ****,  "N"
		CycleStatus, "5 of 5 Cycle(s)",  ""
		GageAdjustment, 0.615,  "mm"
		LoadCellCapacity, 10000.000,  "N"
		PeakLoadForEntireTest, 45.516,  "N"
		PreConditioningGageAdjustment, ****,  "mm"
		PreLoadStatus, "PreLoad Section",  ""
		PreTestGageAdjustment, 0.615,  "mm"
		SlackVal, 0.615,  "mm"
		TestStatus, "5 of 5 Cycle(s)",  ""
		BeginData
			2, 0.032, 10.502, 40.100, 0.068, 0.001
			2, 0.033, 10.653, 40.200, 0.068, 0.002
			2, 0.034, 10.777, 40.300, 0.069, 0.002
			2, 0.035, 10.984, 40.400, 0.071, 0.002
			2, 0.036, 11.151, 40.500, 0.072, 0.002
			2, 0.037, 11.358, 40.600, 0.073, 0.002
			2, 0.038, 11.544, 40.700, 0.074, 0.002
			2, 0.040, 11.734, 40.800, 0.075, 0.002
			2, 0.041, 11.936, 40.900, 0.077, 0.002
			2, 0.042, 12.164, 41.000, 0.078, 0.002
			2, 0.043, 12.348, 41.100, 0.079, 0.002
			2, 0.045, 12.639, 41.200, 0.081, 0.002
			2, 0.047, 12.901, 41.300, 0.083, 0.002
			2, 0.049, 13.139, 41.400, 0.084, 0.002
			2, 0.050, 13.440, 41.500, 0.086, 0.002
			2, 0.051, 13.579, 41.600, 0.087, 0.002
			2, 0.052, 13.769, 41.700, 0.089, 0.002
			2, 0.053, 13.944, 41.800, 0.090, 0.003
			2, 0.055, 14.160, 41.900, 0.091, 0.003
			2, 0.056, 14.353, 42.000, 0.092, 0.003
			2, 0.057, 14.602, 42.100, 0.094, 0.003
			2, 0.058, 14.813, 42.200, 0.095, 0.003
			2, 0.060, 14.946, 42.300, 0.096, 0.003
			2, 0.061, 15.218, 42.400, 0.098, 0.003
			2, 0.062, 15.483, 42.500, 0.100, 0.003
			2, 0.064, 15.758, 42.600, 0.101, 0.003
			2, 0.066, 16.048, 42.700, 0.103, 0.003
			2, 0.067, 16.277, 42.800, 0.105, 0.003
			2, 0.068, 16.472, 42.900, 0.106, 0.003
			2, 0.069, 16.671, 43.000, 0.107, 0.003
			2, 0.070, 16.881, 43.100, 0.109, 0.003
			2, 0.072, 17.098, 43.200, 0.110, 0.003
			2, 0.073, 17.307, 43.300, 0.111, 0.003
			2, 0.074, 17.527, 43.400, 0.113, 0.004
			2, 0.075, 17.709, 43.500, 0.114, 0.004
			2, 0.077, 17.893, 43.600, 0.115, 0.004
			2, 0.078, 18.170, 43.700, 0.117, 0.004
			2, 0.080, 18.408, 43.800, 0.118, 0.004
			2, 0.081, 18.803, 43.900, 0.121, 0.004
			2, 0.083, 19.046, 44.000, 0.122, 0.004
			2, 0.084, 19.317, 44.100, 0.124, 0.004
			2, 0.085, 19.529, 44.200, 0.126, 0.004
			2, 0.087, 19.705, 44.300, 0.127, 0.004
			2, 0.088, 19.934, 44.400, 0.128, 0.004
			2, 0.089, 20.118, 44.500, 0.129, 0.004
			2, 0.090, 20.351, 44.600, 0.131, 0.004
			2, 0.092, 20.567, 44.700, 0.132, 0.004
			2, 0.093, 20.782, 44.800, 0.134, 0.004
			2, 0.094, 21.062, 44.900, 0.135, 0.004
			2, 0.095, 21.279, 45.000, 0.137, 0.004
			2, 0.097, 21.504, 45.100, 0.138, 0.005
			2, 0.098, 21.873, 45.200, 0.141, 0.005
			2, 0.100, 22.187, 45.300, 0.143, 0.005
			2, 0.102, 22.469, 45.400, 0.144, 0.005
			2, 0.103, 22.767, 45.500, 0.146, 0.005
			2, 0.104, 22.924, 45.600, 0.147, 0.005
			2, 0.105, 23.148, 45.700, 0.149, 0.005
			2, 0.106, 23.382, 45.800, 0.150, 0.005
			2, 0.107, 23.648, 45.900, 0.152, 0.005
			2, 0.108, 23.856, 46.000, 0.153, 0.005
			2, 0.110, 24.146, 46.100, 0.155, 0.005
			2, 0.111, 24.384, 46.200, 0.157, 0.005
			2, 0.112, 24.592, 46.300, 0.158, 0.005
			2, 0.113, 24.856, 46.400, 0.160, 0.005
			2, 0.115, 25.152, 46.500, 0.162, 0.005
			2, 0.117, 25.523, 46.600, 0.164, 0.006
			2, 0.118, 25.864, 46.700, 0.166, 0.006
			2, 0.120, 26.183, 46.800, 0.168, 0.006
			2, 0.121, 26.389, 46.900, 0.170, 0.006
			2, 0.122, 26.597, 47.000, 0.171, 0.006
			2, 0.123, 26.860, 47.100, 0.173, 0.006
			2, 0.125, 27.041, 47.200, 0.174, 0.006
			2, 0.126, 27.267, 47.300, 0.175, 0.006
			2, 0.127, 27.550, 47.400, 0.177, 0.006
			2, 0.128, 27.785, 47.500, 0.179, 0.006
			2, 0.130, 28.019, 47.600, 0.180, 0.006
			2, 0.130, 28.294, 47.700, 0.182, 0.006
			2, 0.132, 28.546, 47.800, 0.183, 0.006
			2, 0.133, 28.889, 47.900, 0.186, 0.006
			2, 0.135, 29.287, 48.000, 0.188, 0.006
			2, 0.137, 29.593, 48.100, 0.190, 0.006
			2, 0.138, 29.927, 48.200, 0.192, 0.007
			2, 0.139, 30.135, 48.300, 0.194, 0.007
			2, 0.140, 30.367, 48.400, 0.195, 0.007
			2, 0.142, 30.562, 48.500, 0.196, 0.007
			2, 0.143, 30.850, 48.600, 0.198, 0.007
			2, 0.144, 31.110, 48.700, 0.200, 0.007
			2, 0.145, 31.360, 48.800, 0.202, 0.007
			2, 0.147, 31.625, 48.900, 0.203, 0.007
			2, 0.148, 31.905, 49.000, 0.205, 0.007
			2, 0.149, 32.164, 49.100, 0.207, 0.007
			2, 0.150, 32.474, 49.200, 0.209, 0.007
			2, 0.152, 32.901, 49.300, 0.211, 0.007
			2, 0.154, 33.214, 49.400, 0.213, 0.007
			2, 0.155, 33.628, 49.500, 0.216, 0.007
			2, 0.157, 33.792, 49.600, 0.217, 0.007
			2, 0.158, 34.051, 49.700, 0.219, 0.007
			2, 0.159, 34.285, 49.800, 0.220, 0.008
			2, 0.160, 34.544, 49.900, 0.222, 0.008
			2, 0.162, 34.794, 50.000, 0.224, 0.008
			2, 0.163, 35.137, 50.100, 0.226, 0.008
			2, 0.164, 35.349, 50.200, 0.227, 0.008
			2, 0.165, 35.642, 50.300, 0.229, 0.008
			2, 0.166, 35.871, 50.400, 0.231, 0.008
			2, 0.168, 36.175, 50.500, 0.233, 0.008
			2, 0.169, 36.558, 50.600, 0.235, 0.008
			2, 0.171, 36.907, 50.700, 0.237, 0.008
			2, 0.173, 37.303, 50.800, 0.240, 0.008
			2, 0.173, 37.572, 50.900, 0.242, 0.008
			2, 0.175, 37.825, 51.000, 0.243, 0.008
			2, 0.176, 38.067, 51.100, 0.245, 0.008
			2, 0.177, 38.320, 51.200, 0.246, 0.008
			2, 0.178, 38.569, 51.300, 0.248, 0.008
			2, 0.180, 38.837, 51.400, 0.250, 0.008
			2, 0.181, 39.145, 51.500, 0.252, 0.009
			2, 0.182, 39.375, 51.600, 0.253, 0.009
			2, 0.183, 39.645, 51.700, 0.255, 0.009
			2, 0.185, 39.953, 51.800, 0.257, 0.009
			2, 0.187, 40.300, 51.900, 0.259, 0.009
			2, 0.188, 40.691, 52.000, 0.262, 0.009
			2, 0.190, 41.053, 52.100, 0.264, 0.009
			2, 0.191, 41.344, 52.200, 0.266, 0.009
			2, 0.192, 41.577, 52.300, 0.267, 0.009
			2, 0.193, 41.800, 52.400, 0.269, 0.009
			2, 0.194, 42.092, 52.500, 0.271, 0.009
			2, 0.195, 42.332, 52.600, 0.272, 0.009
			2, 0.197, 42.639, 52.700, 0.274, 0.009
			2, 0.198, 42.863, 52.800, 0.276, 0.009
			2, 0.199, 43.154, 52.900, 0.277, 0.009
			2, 0.200, 43.453, 53.000, 0.279, 0.009
			2, 0.202, 43.691, 53.100, 0.281, 0.010
			2, 0.203, 44.066, 53.200, 0.283, 0.010
			2, 0.205, 44.434, 53.300, 0.286, 0.010
			2, 0.205, 44.494, 53.320, 0.286, 0.010
			2, 0.205, 44.628, 53.350, 0.287, 0.010
			2, 0.206, 44.658, 53.500, 0.287, 0.010
			2, 0.206, 44.597, 53.600, 0.287, 0.010
			2, 0.206, 44.591, 53.700, 0.287, 0.010
			2, 0.206, 44.539, 53.800, 0.286, 0.010
			2, 0.206, 44.512, 53.900, 0.286, 0.010
			2, 0.206, 44.467, 54.000, 0.286, 0.010
			2, 0.206, 44.434, 54.100, 0.286, 0.010
			2, 0.206, 44.382, 54.200, 0.285, 0.010
			2, 0.206, 44.382, 54.300, 0.285, 0.010
			2, 0.206, 44.292, 54.400, 0.285, 0.010
			2, 0.206, 44.287, 54.500, 0.285, 0.010
			2, 0.206, 44.268, 54.600, 0.285, 0.010
			2, 0.206, 44.255, 54.700, 0.284, 0.010
			2, 0.206, 44.224, 54.800, 0.284, 0.010
			2, 0.206, 44.228, 54.900, 0.284, 0.010
			2, 0.206, 44.159, 55.000, 0.284, 0.010
			2, 0.206, 44.147, 55.100, 0.284, 0.010
			2, 0.206, 44.146, 55.200, 0.284, 0.010
			2, 0.206, 44.093, 55.300, 0.283, 0.010
			2, 0.206, 44.086, 55.400, 0.283, 0.010
			2, 0.206, 44.070, 55.500, 0.283, 0.010
			2, 0.206, 44.039, 55.600, 0.283, 0.010
			2, 0.206, 44.013, 55.700, 0.283, 0.010
			2, 0.206, 44.019, 55.800, 0.283, 0.010
			2, 0.206, 43.945, 55.900, 0.282, 0.010
			2, 0.206, 43.918, 56.000, 0.282, 0.010
			2, 0.205, 43.908, 56.100, 0.282, 0.010
			2, 0.205, 43.858, 56.200, 0.282, 0.010
			2, 0.205, 43.814, 56.300, 0.282, 0.010
			2, 0.205, 43.749, 56.400, 0.281, 0.010
			2, 0.205, 43.710, 56.500, 0.281, 0.010
			2, 0.204, 43.612, 56.600, 0.280, 0.010
			2, 0.203, 43.473, 56.700, 0.279, 0.010
			2, 0.203, 43.198, 56.800, 0.278, 0.010
			2, 0.201, 42.707, 56.900, 0.275, 0.009
			2, 0.200, 42.338, 57.000, 0.272, 0.009
			2, 0.198, 42.034, 57.100, 0.270, 0.009
			2, 0.197, 41.705, 57.200, 0.268, 0.009
			2, 0.196, 41.327, 57.300, 0.266, 0.009
			2, 0.195, 40.941, 57.400, 0.263, 0.009
			2, 0.193, 40.600, 57.500, 0.261, 0.009
			2, 0.192, 40.214, 57.600, 0.258, 0.009
			2, 0.191, 39.867, 57.700, 0.256, 0.009
			2, 0.190, 39.551, 57.800, 0.254, 0.009
			2, 0.188, 39.170, 57.900, 0.252, 0.009
			2, 0.187, 38.857, 58.000, 0.250, 0.009
			2, 0.185, 38.422, 58.100, 0.247, 0.009
			2, 0.183, 37.997, 58.200, 0.244, 0.009
			2, 0.182, 37.652, 58.300, 0.242, 0.009
			2, 0.181, 37.295, 58.400, 0.240, 0.009
			2, 0.180, 36.998, 58.500, 0.238, 0.008
			2, 0.178, 36.640, 58.600, 0.236, 0.008
			2, 0.177, 36.315, 58.700, 0.233, 0.008
			2, 0.176, 35.975, 58.800, 0.231, 0.008
			2, 0.175, 35.663, 58.900, 0.229, 0.008
			2, 0.173, 35.323, 59.000, 0.227, 0.008
			2, 0.172, 35.032, 59.100, 0.225, 0.008
			2, 0.171, 34.703, 59.200, 0.223, 0.008
			2, 0.170, 34.361, 59.300, 0.221, 0.008
			2, 0.168, 33.959, 59.400, 0.218, 0.008
			2, 0.166, 33.511, 59.500, 0.215, 0.008
			2, 0.165, 33.214, 59.600, 0.213, 0.008
			2, 0.163, 32.835, 59.700, 0.211, 0.008
			2, 0.162, 32.613, 59.800, 0.210, 0.008
			2, 0.161, 32.307, 59.900, 0.208, 0.008
			2, 0.160, 31.967, 60.000, 0.205, 0.008
			2, 0.158, 31.689, 60.100, 0.204, 0.007
			2, 0.157, 31.401, 60.200, 0.202, 0.007
			2, 0.156, 31.087, 60.300, 0.200, 0.007
			2, 0.155, 30.775, 60.400, 0.198, 0.007
			2, 0.153, 30.520, 60.500, 0.196, 0.007
			2, 0.152, 30.179, 60.600, 0.194, 0.007
			2, 0.151, 29.858, 60.700, 0.192, 0.007
			2, 0.149, 29.495, 60.800, 0.190, 0.007
			2, 0.148, 29.142, 60.900, 0.187, 0.007
			2, 0.147, 28.816, 61.000, 0.185, 0.007
			2, 0.145, 28.552, 61.100, 0.184, 0.007
			2, 0.144, 28.296, 61.200, 0.182, 0.007
			2, 0.143, 28.006, 61.300, 0.180, 0.007
			2, 0.142, 27.686, 61.400, 0.178, 0.007
			2, 0.140, 27.399, 61.500, 0.176, 0.007
			2, 0.139, 27.144, 61.600, 0.174, 0.007
			2, 0.138, 26.866, 61.700, 0.173, 0.007
			2, 0.137, 26.582, 61.800, 0.171, 0.006
			2, 0.135, 26.281, 61.900, 0.169, 0.006
			2, 0.134, 26.031, 62.000, 0.167, 0.006
			2, 0.132, 25.718, 62.100, 0.165, 0.006
			2, 0.131, 25.351, 62.200, 0.163, 0.006
			2, 0.129, 24.992, 62.300, 0.161, 0.006
			2, 0.128, 24.716, 62.400, 0.159, 0.006
			2, 0.127, 24.432, 62.500, 0.157, 0.006
			2, 0.126, 24.197, 62.600, 0.156, 0.006
			2, 0.125, 23.916, 62.700, 0.154, 0.006
			2, 0.123, 23.625, 62.800, 0.152, 0.006
			2, 0.122, 23.378, 62.900, 0.150, 0.006
			2, 0.120, 23.113, 63.000, 0.149, 0.006
			2, 0.119, 22.876, 63.100, 0.147, 0.006
			2, 0.118, 22.640, 63.200, 0.146, 0.006
			2, 0.117, 22.314, 63.300, 0.143, 0.006
			2, 0.115, 22.080, 63.400, 0.142, 0.005
			2, 0.113, 21.707, 63.500, 0.140, 0.005
			2, 0.112, 21.409, 63.600, 0.138, 0.005
			2, 0.111, 21.095, 63.700, 0.136, 0.005
			2, 0.110, 20.887, 63.800, 0.134, 0.005
			2, 0.108, 20.666, 63.900, 0.133, 0.005
			2, 0.107, 20.427, 64.000, 0.131, 0.005
			2, 0.106, 20.179, 64.100, 0.130, 0.005
			2, 0.105, 19.933, 64.200, 0.128, 0.005
			2, 0.103, 19.667, 64.300, 0.126, 0.005
			2, 0.102, 19.450, 64.400, 0.125, 0.005
			2, 0.101, 19.212, 64.500, 0.123, 0.005
			2, 0.099, 18.992, 64.600, 0.122, 0.005
			2, 0.098, 18.700, 64.700, 0.120, 0.005
			2, 0.097, 18.390, 64.800, 0.118, 0.005
			2, 0.095, 18.076, 64.900, 0.116, 0.004
			2, 0.093, 17.828, 65.000, 0.115, 0.004
			2, 0.092, 17.599, 65.100, 0.113, 0.004
			2, 0.091, 17.413, 65.200, 0.112, 0.004
			2, 0.090, 17.178, 65.300, 0.110, 0.004
			2, 0.088, 16.969, 65.400, 0.109, 0.004
			2, 0.087, 16.733, 65.500, 0.108, 0.004
			2, 0.086, 16.516, 65.600, 0.106, 0.004
			2, 0.085, 16.320, 65.700, 0.105, 0.004
			2, 0.083, 16.103, 65.800, 0.104, 0.004
			2, 0.082, 15.862, 65.900, 0.102, 0.004
			2, 0.081, 15.658, 66.000, 0.101, 0.004
			2, 0.079, 15.422, 66.100, 0.099, 0.004
			2, 0.078, 15.115, 66.200, 0.097, 0.004
			2, 0.076, 14.901, 66.300, 0.096, 0.004
			2, 0.075, 14.682, 66.400, 0.094, 0.004
			2, 0.073, 14.505, 66.500, 0.093, 0.003
			2, 0.072, 14.312, 66.600, 0.092, 0.003
			2, 0.071, 14.093, 66.700, 0.091, 0.003
			2, 0.070, 13.863, 66.800, 0.089, 0.003
			2, 0.068, 13.660, 66.900, 0.088, 0.003
			2, 0.067, 13.503, 67.000, 0.087, 0.003
			2, 0.066, 13.348, 67.100, 0.086, 0.003
			2, 0.065, 13.183, 67.200, 0.085, 0.003
			2, 0.063, 12.952, 67.300, 0.083, 0.003
			2, 0.062, 12.707, 67.400, 0.082, 0.003
			2, 0.060, 12.448, 67.500, 0.080, 0.003
			2, 0.059, 12.205, 67.600, 0.078, 0.003
			2, 0.057, 11.977, 67.700, 0.077, 0.003
			2, 0.057, 11.842, 67.800, 0.076, 0.003
			2, 0.055, 11.665, 67.900, 0.075, 0.003
			2, 0.054, 11.492, 68.000, 0.074, 0.003
			2, 0.053, 11.287, 68.100, 0.073, 0.002
			2, 0.051, 11.125, 68.200, 0.072, 0.002
			2, 0.050, 10.915, 68.300, 0.070, 0.002
			2, 0.048, 10.782, 68.400, 0.069, 0.002
			2, 0.047, 10.618, 68.500, 0.068, 0.002
			2, 0.046, 10.401, 68.600, 0.067, 0.002
			2, 0.045, 10.244, 68.700, 0.066, 0.002
			2, 0.043, 10.040, 68.800, 0.065, 0.002
			2, 0.042, 9.820, 68.900, 0.063, 0.002
			2, 0.040, 9.626, 69.000, 0.062, 0.002
			2, 0.039, 9.463, 69.100, 0.061, 0.002
			2, 0.038, 9.284, 69.200, 0.060, 0.002
			2, 0.037, 9.156, 69.300, 0.059, 0.002
			2, 0.035, 8.987, 69.400, 0.058, 0.002
			2, 0.034, 8.842, 69.500, 0.057, 0.002
			2, 0.033, 8.672, 69.600, 0.056, 0.002
			2, 0.032, 8.514, 69.700, 0.055, 0.001
			2, 0.030, 8.417, 69.800, 0.054, 0.001
			2, 0.029, 8.248, 69.900, 0.053, 0.001
			2, 0.028, 8.090, 70.000, 0.052, 0.001
			2, 0.027, 7.936, 70.100, 0.051, 0.001
			2, 0.025, 7.743, 70.200, 0.050, 0.001
			2, 0.023, 7.558, 70.300, 0.049, 0.001
			2, 0.022, 7.418, 70.400, 0.048, 0.001
			2, 0.021, 7.316, 70.500, 0.047, 0.001
			2, 0.020, 7.197, 70.600, 0.046, 0.001
			2, 0.018, 7.058, 70.700, 0.045, 0.001
			2, 0.017, 6.926, 70.800, 0.045, 0.001
			2, 0.016, 6.796, 70.900, 0.044, 0.001
			2, 0.015, 6.635, 71.000, 0.043, 0.001
			2, 0.013, 6.526, 71.100, 0.042, 0.001
			2, 0.012, 6.407, 71.200, 0.041, 0.001
			2, 0.011, 6.249, 71.300, 0.040, 0.001
			2, 0.010, 6.131, 71.400, 0.039, 0.000
			2, 0.008, 5.982, 71.500, 0.038, 0.000
			2, 0.007, 5.771, 71.600, 0.037, 0.000
			2, 0.005, 5.683, 71.700, 0.037, 0.000
			2, 0.003, 5.571, 71.800, 0.036, 0.000
			2, 0.002, 5.474, 71.900, 0.035, 0.000
			2, 0.001, 5.323, 72.000, 0.034, 0.000
			2, -0.000, 5.295, 72.100, 0.034, -0.000
			2, -0.000, 5.295, 72.100, 0.034, -0.000
			3, -0.000, 5.300, 72.140, 0.034, -0.000
			3, -0.001, 5.251, 72.240, 0.034, -0.000
			3, -0.001, 5.223, 72.400, 0.034, -0.000
			3, -0.001, 5.205, 72.500, 0.033, -0.000
			3, -0.001, 5.237, 72.600, 0.034, -0.000
			3, -0.001, 5.335, 72.700, 0.034, -0.000
			3, -0.001, 5.327, 72.800, 0.034, -0.000
			3, -0.001, 5.254, 72.900, 0.034, -0.000
			3, -0.001, 5.308, 73.000, 0.034, -0.000
			3, -0.001, 5.357, 73.100, 0.034, -0.000
			3, -0.001, 5.370, 73.200, 0.035, -0.000
			3, -0.001, 5.312, 73.300, 0.034, -0.000
			3, -0.001, 5.360, 73.400, 0.034, -0.000
			3, -0.001, 5.388, 73.500, 0.035, -0.000
			3, -0.001, 5.356, 73.600, 0.034, -0.000
			3, -0.001, 5.437, 73.700, 0.035, -0.000
			3, -0.001, 5.450, 73.800, 0.035, -0.000
			3, -0.001, 5.376, 73.900, 0.035, -0.000
			3, -0.001, 5.463, 74.000, 0.035, -0.000
			3, -0.001, 5.462, 74.100, 0.035, -0.000
			3, -0.001, 5.376, 74.200, 0.035, -0.000
			3, -0.001, 5.469, 74.300, 0.035, -0.000
			3, -0.001, 5.434, 74.400, 0.035, -0.000
			3, -0.001, 5.456, 74.500, 0.035, -0.000
			3, -0.001, 5.497, 74.600, 0.035, -0.000
			3, -0.001, 5.422, 74.700, 0.035, -0.000
			3, -0.001, 5.513, 74.800, 0.035, -0.000
			3, -0.000, 5.486, 74.900, 0.035, -0.000
			3, -0.000, 5.555, 75.000, 0.036, -0.000
			3, 0.000, 5.533, 75.100, 0.036, 0.000
			3, 0.000, 5.634, 75.200, 0.036, 0.000
			3, 0.000, 5.602, 75.300, 0.036, 0.000
			3, 0.001, 5.692, 75.400, 0.037, 0.000
			3, 0.002, 5.682, 75.500, 0.037, 0.000
			3, 0.002, 5.801, 75.600, 0.037, 0.000
			3, 0.003, 5.974, 75.700, 0.038, 0.000
			3, 0.005, 6.143, 75.800, 0.039, 0.000
			3, 0.006, 6.286, 75.900, 0.040, 0.000
			3, 0.007, 6.455, 76.000, 0.041, 0.000
			3, 0.008, 6.677, 76.100, 0.043, 0.000
			3, 0.010, 6.899, 76.200, 0.044, 0.000
			3, 0.012, 7.129, 76.300, 0.046, 0.001
			3, 0.013, 7.337, 76.400, 0.047, 0.001
			3, 0.015, 7.483, 76.500, 0.048, 0.001
			3, 0.016, 7.623, 76.600, 0.049, 0.001
			3, 0.017, 7.738, 76.700, 0.050, 0.001
			3, 0.018, 7.969, 76.800, 0.051, 0.001
			3, 0.019, 8.105, 76.900, 0.052, 0.001
			3, 0.020, 8.299, 77.000, 0.053, 0.001
			3, 0.022, 8.439, 77.100, 0.054, 0.001
			3, 0.023, 8.650, 77.200, 0.056, 0.001
			3, 0.024, 8.806, 77.300, 0.057, 0.001
			3, 0.025, 9.015, 77.400, 0.058, 0.001
			3, 0.027, 9.222, 77.500, 0.059, 0.001
			3, 0.029, 9.456, 77.600, 0.061, 0.001
			3, 0.030, 9.692, 77.700, 0.062, 0.001
			3, 0.032, 9.905, 77.800, 0.064, 0.002
			3, 0.033, 10.127, 77.900, 0.065, 0.002
			3, 0.034, 10.242, 78.000, 0.066, 0.002
			3, 0.035, 10.413, 78.100, 0.067, 0.002
			3, 0.037, 10.622, 78.200, 0.068, 0.002
			3, 0.038, 10.774, 78.300, 0.069, 0.002
			3, 0.039, 10.983, 78.400, 0.071, 0.002
			3, 0.040, 11.171, 78.500, 0.072, 0.002
			3, 0.042, 11.364, 78.600, 0.073, 0.002
			3, 0.043, 11.575, 78.700, 0.074, 0.002
			3, 0.044, 11.795, 78.800, 0.076, 0.002
			3, 0.046, 12.078, 78.900, 0.078, 0.002
			3, 0.047, 12.366, 79.000, 0.079, 0.002
			3, 0.049, 12.655, 79.100, 0.081, 0.002
			3, 0.050, 12.835, 79.200, 0.083, 0.002
			3, 0.052, 13.000, 79.300, 0.084, 0.002
			3, 0.053, 13.206, 79.400, 0.085, 0.002
			3, 0.054, 13.380, 79.500, 0.086, 0.003
			3, 0.055, 13.591, 79.600, 0.087, 0.003
			3, 0.056, 13.777, 79.700, 0.089, 0.003
			3, 0.057, 13.989, 79.800, 0.090, 0.003
			3, 0.058, 14.199, 79.900, 0.091, 0.003
			3, 0.060, 14.390, 80.000, 0.092, 0.003
			3, 0.062, 14.646, 80.100, 0.094, 0.003
			3, 0.063, 14.926, 80.200, 0.096, 0.003
			3, 0.065, 15.218, 80.300, 0.098, 0.003
			3, 0.067, 15.458, 80.400, 0.099, 0.003
			3, 0.068, 15.708, 80.500, 0.101, 0.003
			3, 0.068, 15.883, 80.600, 0.102, 0.003
			3, 0.070, 16.088, 80.700, 0.103, 0.003
			3, 0.071, 16.282, 80.800, 0.105, 0.003
			3, 0.072, 16.485, 80.900, 0.106, 0.003
			3, 0.073, 16.701, 81.000, 0.107, 0.003
			3, 0.075, 16.958, 81.100, 0.109, 0.004
			3, 0.076, 17.139, 81.200, 0.110, 0.004
			3, 0.077, 17.390, 81.300, 0.112, 0.004
			3, 0.078, 17.598, 81.400, 0.113, 0.004
			3, 0.080, 17.878, 81.500, 0.115, 0.004
			3, 0.082, 18.176, 81.600, 0.117, 0.004
			3, 0.083, 18.469, 81.700, 0.119, 0.004
			3, 0.085, 18.774, 81.800, 0.121, 0.004
			3, 0.086, 18.960, 81.900, 0.122, 0.004
			3, 0.087, 19.145, 82.000, 0.123, 0.004
			3, 0.088, 19.373, 82.100, 0.125, 0.004
			3, 0.089, 19.581, 82.200, 0.126, 0.004
			3, 0.090, 19.794, 82.300, 0.127, 0.004
			3, 0.092, 20.049, 82.400, 0.129, 0.004
			3, 0.093, 20.326, 82.500, 0.131, 0.004
			3, 0.094, 20.474, 82.600, 0.132, 0.004
			3, 0.095, 20.759, 82.700, 0.133, 0.005
			3, 0.097, 20.998, 82.800, 0.135, 0.005
			3, 0.098, 21.350, 82.900, 0.137, 0.005
			3, 0.100, 21.684, 83.000, 0.139, 0.005
			3, 0.102, 21.985, 83.100, 0.141, 0.005
			3, 0.103, 22.204, 83.200, 0.143, 0.005
			3, 0.104, 22.438, 83.300, 0.144, 0.005
			3, 0.105, 22.662, 83.400, 0.146, 0.005
			3, 0.107, 22.907, 83.500, 0.147, 0.005
			3, 0.108, 23.104, 83.600, 0.149, 0.005
			3, 0.109, 23.361, 83.700, 0.150, 0.005
			3, 0.110, 23.568, 83.800, 0.151, 0.005
			3, 0.112, 23.834, 83.900, 0.153, 0.005
			3, 0.113, 24.039, 84.000, 0.155, 0.005
			3, 0.114, 24.332, 84.100, 0.156, 0.005
			3, 0.116, 24.661, 84.200, 0.159, 0.005
			3, 0.117, 25.022, 84.300, 0.161, 0.006
			3, 0.119, 25.345, 84.400, 0.163, 0.006
			3, 0.120, 25.675, 84.500, 0.165, 0.006
			3, 0.122, 25.883, 84.600, 0.166, 0.006
			3, 0.123, 26.094, 84.700, 0.168, 0.006
			3, 0.124, 26.293, 84.800, 0.169, 0.006
			3, 0.125, 26.517, 84.900, 0.170, 0.006
